order_id,order_date,ship_mode,product_id
US-2019-168620,2019-12-24,Second Class,TEC-AC-10004469
CA-2019-119186,2019-05-26,First Class,TEC-AC-10000580
CA-2017-163293,2017-09-08,First Class,TEC-AC-10004209
CA-2017-163293,2017-09-08,First Class,TEC-AC-10000023
CA-2020-157651,2020-12-10,Standard Class,TEC-AC-10003116
US-2020-155425,2020-11-10,First Class,TEC-AC-10001314
CA-2020-136672,2020-03-07,Standard Class,TEC-AC-10004510
CA-2019-124485,2019-11-24,First Class,TEC-AC-10002323
US-2017-118486,2017-04-06,First Class,TEC-AC-10004659
CA-2020-115994,2020-01-28,Second Class,TEC-AC-10000580
CA-2018-126697,2018-09-21,First Class,TEC-AC-10004353
CA-2018-139731,2018-10-15,First Class,TEC-AC-10004975
CA-2019-152289,2019-08-26,First Class,TEC-AC-10004571
CA-2017-151708,2017-08-08,Standard Class,TEC-AC-10001767
CA-2018-100769,2018-05-16,First Class,TEC-AC-10002402
US-2019-108098,2019-10-14,Standard Class,TEC-AC-10000865
CA-2018-140410,2018-11-03,Standard Class,TEC-AC-10001109
CA-2020-120761,2020-09-04,Standard Class,TEC-AC-10000171
CA-2018-129112,2018-11-29,First Class,TEC-AC-10003038
US-2017-157385,2017-11-23,First Class,TEC-AC-10003280
CA-2018-131338,2018-08-09,First Class,TEC-AC-10002600
US-2019-113509,2019-03-15,Standard Class,TEC-AC-10004855
CA-2020-108560,2020-07-08,Standard Class,TEC-AC-10003063
CA-2018-157084,2018-12-19,Standard Class,TEC-AC-10002049
CA-2019-106530,2019-05-08,First Class,TEC-AC-10001465
CA-2018-105221,2018-11-01,First Class,TEC-AC-10002323
US-2020-132444,2020-11-18,First Class,TEC-AC-10003832
CA-2019-128531,2019-11-24,Second Class,TEC-AC-10002049
CA-2019-128531,2019-11-24,Second Class,TEC-AC-10003023
CA-2019-107615,2019-03-22,First Class,TEC-AC-10001013
US-2019-158708,2019-06-26,Second Class,TEC-AC-10003133
CA-2018-156335,2018-09-25,Second Class,TEC-AC-10002006
US-2018-123218,2018-12-20,Standard Class,TEC-AC-10000736
CA-2019-106894,2019-02-07,First Class,TEC-AC-10003063
CA-2018-130204,2018-09-03,Standard Class,TEC-AC-10003038
CA-2018-130204,2018-09-03,Standard Class,TEC-AC-10003590
CA-2020-152807,2020-10-30,Standard Class,TEC-AC-10001142
CA-2017-139017,2017-05-11,Standard Class,TEC-AC-10001013
CA-2019-129686,2019-11-27,Second Class,TEC-AC-10001266
CA-2019-124667,2019-11-11,Standard Class,TEC-AC-10003447
CA-2020-166317,2020-09-22,Standard Class,TEC-AC-10004510
CA-2018-154326,2018-02-15,Standard Class,TEC-AC-10004568
CA-2020-158379,2020-09-22,Second Class,TEC-AC-10002926
US-2019-116729,2019-12-25,First Class,TEC-AC-10001465
US-2020-113852,2020-07-29,Standard Class,TEC-AC-10003027
CA-2018-160472,2018-07-20,Second Class,TEC-AC-10002253
CA-2020-167094,2020-10-21,First Class,TEC-AC-10003116
CA-2019-105963,2019-11-15,Standard Class,TEC-AC-10003832
CA-2017-103366,2017-01-15,First Class,TEC-AC-10003628
CA-2020-102834,2020-03-09,Standard Class,TEC-AC-10001908
CA-2020-101245,2020-11-27,Standard Class,TEC-AC-10001284
CA-2019-108581,2019-06-20,Standard Class,TEC-AC-10001109
CA-2020-157987,2020-09-02,Standard Class,TEC-AC-10002842
CA-2020-157987,2020-09-02,Standard Class,TEC-AC-10000109
CA-2020-110905,2020-09-10,Second Class,TEC-AC-10003023
CA-2020-110905,2020-09-10,Second Class,TEC-AC-10002217
CA-2020-117485,2020-09-23,Standard Class,TEC-AC-10004659
CA-2020-140242,2020-05-06,Standard Class,TEC-AC-10004659
CA-2017-148950,2017-12-14,Standard Class,TEC-AC-10002718
CA-2020-166128,2020-04-11,Standard Class,TEC-AC-10001767
CA-2017-111150,2017-12-31,Standard Class,TEC-AC-10000290
CA-2018-155761,2018-12-11,First Class,TEC-AC-10001606
CA-2020-120376,2020-12-22,First Class,TEC-AC-10001114
CA-2020-120376,2020-12-22,First Class,TEC-AC-10000844
CA-2017-106439,2017-10-31,Standard Class,TEC-AC-10004568
CA-2018-133452,2018-04-13,Standard Class,TEC-AC-10002800
CA-2020-122504,2020-11-07,Second Class,TEC-AC-10003289
CA-2020-124401,2020-09-07,Standard Class,TEC-AC-10002926
CA-2020-167101,2020-03-24,Second Class,TEC-AC-10001266
CA-2017-126032,2017-06-23,Standard Class,TEC-AC-10000158
CA-2017-167360,2017-11-24,Second Class,TEC-AC-10001772
CA-2019-154018,2019-10-13,Standard Class,TEC-AC-10002402
CA-2020-117870,2020-01-27,Second Class,TEC-AC-10000927
CA-2019-128818,2019-05-07,Standard Class,TEC-AC-10001767
CA-2019-101378,2019-07-14,First Class,TEC-AC-10002345
CA-2019-128412,2019-12-10,Standard Class,TEC-AC-10003038
CA-2020-104066,2020-12-05,Standard Class,TEC-AC-10001013
CA-2018-117611,2018-11-08,Second Class,TEC-AC-10002049
US-2018-137960,2018-12-18,First Class,TEC-AC-10002253
CA-2019-131065,2019-11-14,Second Class,TEC-AC-10004145
CA-2017-104283,2017-06-27,Standard Class,TEC-AC-10000109
CA-2018-113145,2018-11-01,Standard Class,TEC-AC-10001838
CA-2019-106558,2019-01-17,Standard Class,TEC-AC-10001142
CA-2020-116225,2020-11-05,Standard Class,TEC-AC-10001432
CA-2020-122035,2020-07-20,Standard Class,TEC-AC-10003095
CA-2020-165491,2020-03-20,Standard Class,TEC-AC-10000358
US-2017-143231,2017-12-31,First Class,TEC-AC-10000358
CA-2018-111514,2018-08-31,First Class,TEC-AC-10004864
CA-2020-155152,2020-07-07,Second Class,TEC-AC-10004353
US-2018-127040,2018-12-06,Standard Class,TEC-AC-10002637
CA-2018-137897,2018-11-14,Standard Class,TEC-AC-10002217
CA-2018-137897,2018-11-14,Standard Class,TEC-AC-10001267
CA-2020-108574,2020-10-07,Standard Class,TEC-AC-10002049
CA-2020-168655,2020-10-12,Standard Class,TEC-AC-10002842
CA-2020-159597,2020-11-09,Standard Class,TEC-AC-10004171
US-2020-147669,2020-12-25,Standard Class,TEC-AC-10002473
CA-2019-146934,2019-05-22,Standard Class,TEC-AC-10002399
CA-2020-140949,2020-03-17,Second Class,TEC-AC-10002399
CA-2020-140949,2020-03-17,Second Class,TEC-AC-10003038
CA-2019-114972,2019-11-03,First Class,TEC-AC-10000682
CA-2020-163902,2020-03-02,Standard Class,TEC-AC-10000580
CA-2018-102722,2018-04-18,First Class,TEC-AC-10003116
CA-2019-124506,2019-11-11,Standard Class,TEC-AC-10003280
CA-2018-124541,2018-04-06,Standard Class,TEC-AC-10002550
CA-2017-111500,2017-08-17,Standard Class,TEC-AC-10000844
CA-2018-143238,2018-09-06,First Class,TEC-AC-10003499
CA-2018-111458,2018-09-26,Standard Class,TEC-AC-10001590
CA-2018-110632,2018-03-17,Second Class,TEC-AC-10000387
CA-2020-109589,2020-12-21,First Class,TEC-AC-10003116
CA-2019-155845,2019-08-12,Second Class,TEC-AC-10004145
CA-2017-127446,2017-11-25,Standard Class,TEC-AC-10001635
US-2020-165344,2020-11-13,First Class,TEC-AC-10002399
CA-2018-169740,2018-02-20,Standard Class,TEC-AC-10000927
CA-2019-111794,2019-10-01,First Class,TEC-AC-10003832
CA-2020-127026,2020-01-21,Standard Class,TEC-AC-10002049
CA-2020-156818,2020-07-11,Second Class,TEC-AC-10002323
CA-2020-128475,2020-08-26,Standard Class,TEC-AC-10000158
CA-2020-104801,2020-02-13,Standard Class,TEC-AC-10001838
CA-2020-122707,2020-04-16,First Class,TEC-AC-10004227
CA-2020-163321,2020-08-07,Second Class,TEC-AC-10004571
US-2018-165449,2018-11-22,Standard Class,TEC-AC-10004127
CA-2018-155306,2018-04-17,Standard Class,TEC-AC-10003174
CA-2019-127775,2019-06-11,Second Class,TEC-AC-10002402
CA-2020-126536,2020-10-12,First Class,TEC-AC-10003709
US-2018-122140,2018-04-02,Standard Class,TEC-AC-10003038
US-2018-122140,2018-04-02,Standard Class,TEC-AC-10003289
CA-2020-108322,2020-04-30,Standard Class,TEC-AC-10003433
CA-2018-135685,2018-11-16,Second Class,TEC-AC-10004145
CA-2020-112865,2020-05-18,Standard Class,TEC-AC-10000387
CA-2020-138975,2020-05-19,Standard Class,TEC-AC-10003441
CA-2019-152072,2019-01-15,Standard Class,TEC-AC-10000844
CA-2020-134915,2020-11-12,First Class,TEC-AC-10001266
CA-2019-139010,2019-02-21,Second Class,TEC-AC-10004227
CA-2017-138317,2017-06-21,Standard Class,TEC-AC-10003628
US-2019-160528,2019-08-23,Standard Class,TEC-AC-10002842
US-2018-123960,2018-06-11,Standard Class,TEC-AC-10003038
CA-2020-121419,2020-04-02,First Class,TEC-AC-10000892
CA-2019-144554,2019-11-07,Standard Class,TEC-AC-10002800
CA-2018-145184,2018-11-27,First Class,TEC-AC-10000397
CA-2020-106859,2020-03-13,Second Class,TEC-AC-10004001
CA-2020-118773,2020-02-09,Standard Class,TEC-AC-10002402
CA-2017-136399,2017-12-16,First Class,TEC-AC-10001142
CA-2020-164168,2020-11-12,Standard Class,TEC-AC-10004568
CA-2020-162572,2020-09-25,Second Class,TEC-AC-10003628
CA-2018-147830,2018-12-15,First Class,TEC-AC-10002049
CA-2018-139584,2018-08-24,Standard Class,TEC-AC-10001266
US-2019-162677,2019-03-26,First Class,TEC-AC-10001314
US-2020-132059,2020-09-23,Standard Class,TEC-AC-10003280
CA-2020-152912,2020-11-09,Second Class,TEC-AC-10004666
CA-2017-158372,2017-11-10,Standard Class,TEC-AC-10004209
CA-2019-108882,2019-01-09,Standard Class,TEC-AC-10000420
CA-2017-114433,2017-05-13,Standard Class,TEC-AC-10002800
US-2018-137008,2018-10-02,Standard Class,TEC-AC-10000892
CA-2017-108189,2017-10-02,First Class,TEC-AC-10003038
US-2020-140907,2020-12-10,Second Class,TEC-AC-10004510
CA-2017-140662,2017-11-17,First Class,TEC-AC-10001314
CA-2017-115980,2017-07-15,Standard Class,TEC-AC-10003709
CA-2018-155145,2018-12-27,Second Class,TEC-AC-10003709
US-2017-117170,2017-09-17,Standard Class,TEC-AC-10001109
CA-2018-157770,2018-12-13,First Class,TEC-AC-10001552
CA-2018-157770,2018-12-13,First Class,TEC-AC-10003399
CA-2017-104738,2017-12-30,Second Class,TEC-AC-10003628
CA-2020-122595,2020-12-14,Standard Class,TEC-AC-10000474
CA-2019-147536,2019-12-26,Standard Class,TEC-AC-10003280
CA-2019-139234,2019-05-06,Standard Class,TEC-AC-10004510
CA-2019-134887,2019-03-25,First Class,TEC-AC-10003832
CA-2019-134803,2019-05-28,Standard Class,TEC-AC-10002217
CA-2020-136448,2020-09-16,First Class,TEC-AC-10001109
CA-2020-136448,2020-09-16,First Class,TEC-AC-10003628
CA-2020-128699,2020-12-03,Second Class,TEC-AC-10001990
CA-2020-122644,2020-11-12,Standard Class,TEC-AC-10003614
CA-2020-111815,2020-03-03,Standard Class,TEC-AC-10002926
CA-2019-144911,2019-11-27,First Class,TEC-AC-10004633
CA-2017-143385,2017-08-31,Standard Class,TEC-AC-10001635
CA-2020-142034,2020-09-24,Standard Class,TEC-AC-10002305
CA-2020-142034,2020-09-24,Standard Class,TEC-AC-10000990
CA-2019-108616,2019-09-29,Standard Class,TEC-AC-10000420
CA-2020-125115,2020-04-10,First Class,TEC-AC-10001714
CA-2019-168536,2019-12-20,Standard Class,TEC-AC-10002323
CA-2019-137673,2019-09-05,Standard Class,TEC-AC-10002345
CA-2020-148922,2020-12-10,Second Class,TEC-AC-10001838
CA-2018-141145,2018-09-17,Standard Class,TEC-AC-10001465
CA-2020-152737,2020-11-07,Standard Class,TEC-AC-10004975
CA-2020-168109,2020-07-03,First Class,TEC-AC-10003628
CA-2020-168109,2020-07-03,First Class,TEC-AC-10002049
CA-2017-102869,2017-09-09,Second Class,TEC-AC-10002134
CA-2020-138310,2020-06-26,Standard Class,TEC-AC-10001990
US-2019-131674,2019-11-29,Second Class,TEC-AC-10004864
CA-2018-110093,2018-12-03,Standard Class,TEC-AC-10000171
CA-2020-113530,2020-05-19,Second Class,TEC-AC-10001465
CA-2019-145177,2019-11-10,Standard Class,TEC-AC-10002550
CA-2020-109960,2020-12-09,Second Class,TEC-AC-10004859
CA-2020-158036,2020-09-08,Standard Class,TEC-AC-10002558
US-2020-129777,2020-07-03,Standard Class,TEC-AC-10003590
CA-2017-129364,2017-12-08,Standard Class,TEC-AC-10004227
CA-2020-160416,2020-11-13,Second Class,TEC-AC-10004114
CA-2017-120544,2017-11-23,Standard Class,TEC-AC-10003709
CA-2020-166198,2020-04-21,First Class,TEC-AC-10000521
CA-2019-142370,2019-09-19,Standard Class,TEC-AC-10002926
CA-2019-133340,2019-12-09,Standard Class,TEC-AC-10001109
CA-2017-115357,2017-08-06,Second Class,TEC-AC-10000023
US-2017-102715,2017-04-11,Second Class,TEC-AC-10002001
US-2017-102715,2017-04-11,Second Class,TEC-AC-10001874
CA-2020-125752,2020-07-31,Standard Class,TEC-AC-10003590
CA-2019-156503,2019-10-14,Standard Class,TEC-AC-10002473
CA-2017-126760,2017-07-26,Standard Class,TEC-AC-10004814
CA-2020-161053,2020-09-22,First Class,TEC-AC-10004633
CA-2017-140816,2017-12-20,First Class,TEC-AC-10001539
CA-2017-124709,2017-07-27,Second Class,TEC-AC-10002842
CA-2020-146360,2020-04-23,Second Class,TEC-AC-10003590
CA-2018-132486,2018-10-23,Second Class,TEC-AC-10000710
US-2019-163881,2019-11-24,Standard Class,TEC-AC-10003033
US-2019-163881,2019-11-24,Standard Class,TEC-AC-10000420
US-2019-144547,2019-11-10,Standard Class,TEC-AC-10004901
CA-2020-110212,2020-05-01,Standard Class,TEC-AC-10002331
CA-2020-157980,2020-12-07,First Class,TEC-AC-10002567
CA-2018-151043,2018-11-14,Standard Class,TEC-AC-10001090
CA-2019-132094,2019-08-26,Standard Class,TEC-AC-10001109
CA-2017-116834,2017-10-11,Standard Class,TEC-AC-10002942
US-2018-168732,2018-12-10,Standard Class,TEC-AC-10001553
CA-2018-165624,2018-08-23,Standard Class,TEC-AC-10004568
CA-2019-169957,2019-09-26,Standard Class,TEC-AC-10003063
US-2019-108777,2019-12-12,First Class,TEC-AC-10002567
US-2018-166520,2018-07-16,First Class,TEC-AC-10001990
CA-2019-129196,2019-11-01,Standard Class,TEC-AC-10002473
US-2019-122182,2019-03-10,Standard Class,TEC-AC-10002800
CA-2018-102491,2018-08-24,Standard Class,TEC-AC-10003289
CA-2020-117394,2020-09-04,Standard Class,TEC-AC-10000199
CA-2020-106068,2020-10-23,Standard Class,TEC-AC-10002942
CA-2018-101091,2018-12-05,Second Class,TEC-AC-10003280
US-2020-106131,2020-01-14,First Class,TEC-AC-10003027
US-2020-136868,2020-10-06,Standard Class,TEC-AC-10001539
CA-2019-111493,2019-10-21,First Class,TEC-AC-10004510
CA-2017-138436,2017-03-26,Standard Class,TEC-AC-10002323
CA-2020-158344,2020-08-07,Standard Class,TEC-AC-10002006
US-2019-131611,2019-11-05,Standard Class,TEC-AC-10004001
US-2018-147662,2018-02-14,Standard Class,TEC-AC-10003280
CA-2020-107909,2020-09-01,Standard Class,TEC-AC-10001998
CA-2018-112375,2018-12-21,Standard Class,TEC-AC-10003237
CA-2018-125234,2018-11-27,Standard Class,TEC-AC-10000158
CA-2020-105410,2020-03-19,First Class,TEC-AC-10001552
CA-2020-105410,2020-03-19,First Class,TEC-AC-10002926
US-2020-100482,2020-04-11,Standard Class,TEC-AC-10003441
US-2020-169320,2020-07-23,Second Class,TEC-AC-10002550
CA-2018-164336,2018-07-05,Standard Class,TEC-AC-10002345
US-2019-111290,2019-07-22,Standard Class,TEC-AC-10004975
US-2020-125717,2020-09-28,First Class,TEC-AC-10003657
CA-2020-121300,2020-09-29,First Class,TEC-AC-10004571
US-2017-138247,2017-12-24,Standard Class,TEC-AC-10004708
CA-2017-109491,2017-02-20,Standard Class,TEC-AC-10001284
CA-2020-152856,2020-09-08,Second Class,TEC-AC-10004864
CA-2018-164427,2018-07-31,Standard Class,TEC-AC-10004469
US-2018-113327,2018-05-26,Second Class,TEC-AC-10003628
CA-2018-159863,2018-09-04,Second Class,TEC-AC-10000109
CA-2018-112130,2018-05-03,Standard Class,TEC-AC-10001542
CA-2019-116547,2019-01-10,Standard Class,TEC-AC-10002335
CA-2017-114510,2017-03-14,Standard Class,TEC-AC-10004877
CA-2017-138681,2017-12-20,First Class,TEC-AC-10003628
CA-2020-138149,2020-06-29,First Class,TEC-AC-10001284
CA-2019-124681,2019-07-18,Second Class,TEC-AC-10000487
US-2018-103996,2018-03-29,Second Class,TEC-AC-10003116
CA-2018-155054,2018-06-13,Standard Class,TEC-AC-10003657
US-2018-167220,2018-12-12,Standard Class,TEC-AC-10002018
CA-2018-123155,2018-03-09,First Class,TEC-AC-10002473
CA-2018-104346,2018-12-11,Standard Class,TEC-AC-10004396
CA-2018-140025,2018-04-07,Standard Class,TEC-AC-10002402
CA-2017-132864,2017-12-02,Standard Class,TEC-AC-10001267
CA-2020-143567,2020-11-02,Second Class,TEC-AC-10004145
CA-2019-163167,2019-11-28,Second Class,TEC-AC-10003441
CA-2018-122406,2018-08-02,Second Class,TEC-AC-10004571
CA-2018-142202,2018-09-18,Second Class,TEC-AC-10003198
US-2019-131114,2019-12-09,Second Class,TEC-AC-10000199
CA-2020-159688,2020-05-07,Standard Class,TEC-AC-10000736
CA-2017-156006,2017-04-30,Second Class,TEC-AC-10002550
CA-2017-127558,2017-11-15,First Class,TEC-AC-10003832
CA-2019-133795,2019-12-18,Standard Class,TEC-AC-10001465
CA-2019-133795,2019-12-18,Standard Class,TEC-AC-10003832
CA-2017-151792,2017-09-02,Second Class,TEC-AC-10001606
CA-2017-169803,2017-04-06,Standard Class,TEC-AC-10003441
CA-2020-141719,2020-11-17,Second Class,TEC-AC-10003610
US-2017-104759,2017-03-31,Standard Class,TEC-AC-10004901
CA-2018-141243,2018-01-03,Second Class,TEC-AC-10003198
CA-2020-142090,2020-11-30,Standard Class,TEC-AC-10002001
CA-2019-155138,2019-09-08,Standard Class,TEC-AC-10004209
CA-2018-109001,2018-03-05,Standard Class,TEC-AC-10001101
CA-2018-167374,2018-03-26,Second Class,TEC-AC-10004633
CA-2018-147102,2018-09-19,Standard Class,TEC-AC-10000682
CA-2017-149538,2017-04-04,Standard Class,TEC-AC-10002926
CA-2018-154886,2018-11-08,Standard Class,TEC-AC-10001956
CA-2018-115567,2018-09-13,Standard Class,TEC-AC-10001314
US-2020-136679,2020-11-14,Standard Class,TEC-AC-10004855
CA-2019-103982,2019-03-03,Standard Class,TEC-AC-10002857
CA-2017-166744,2017-09-20,Standard Class,TEC-AC-10003628
US-2020-110989,2020-11-03,Second Class,TEC-AC-10002345
US-2019-169369,2019-12-12,Standard Class,TEC-AC-10001314
CA-2017-105165,2017-09-07,First Class,TEC-AC-10002718
CA-2020-147333,2020-12-14,Standard Class,TEC-AC-10004469
CA-2020-147333,2020-12-14,Standard Class,TEC-AC-10003038
US-2020-104094,2020-09-07,Standard Class,TEC-AC-10002134
CA-2019-113831,2019-05-30,Standard Class,TEC-AC-10003033
CA-2018-146486,2018-11-09,Second Class,TEC-AC-10002018
CA-2018-146486,2018-11-09,Second Class,TEC-AC-10002637
CA-2018-112053,2018-10-11,Second Class,TEC-AC-10002550
CA-2017-150490,2017-08-05,Standard Class,TEC-AC-10004510
CA-2020-134152,2020-05-27,Standard Class,TEC-AC-10004510
CA-2020-164707,2020-02-18,Second Class,TEC-AC-10004864
CA-2020-132262,2020-09-21,First Class,TEC-AC-10000158
CA-2020-132262,2020-09-21,First Class,TEC-AC-10000303
US-2019-143280,2019-02-22,Standard Class,TEC-AC-10003399
CA-2020-166856,2020-09-18,Standard Class,TEC-AC-10004992
US-2019-151827,2019-03-31,Second Class,TEC-AC-10003289
CA-2019-153598,2019-12-03,First Class,TEC-AC-10003870
CA-2018-160171,2018-10-19,Standard Class,TEC-AC-10000892
CA-2018-148712,2018-04-17,Standard Class,TEC-AC-10003198
US-2019-127425,2019-08-26,Standard Class,TEC-AC-10002800
US-2017-119081,2017-09-12,Standard Class,TEC-AC-10001542
CA-2020-105487,2020-10-08,Standard Class,TEC-AC-10002305
CA-2020-105487,2020-10-08,Standard Class,TEC-AC-10003610
CA-2020-117821,2020-06-12,Standard Class,TEC-AC-10004469
CA-2020-164378,2020-07-15,Second Class,TEC-AC-10004708
US-2019-138408,2019-11-18,Second Class,TEC-AC-10003870
CA-2020-117667,2020-12-04,Standard Class,TEC-AC-10000580
US-2019-167472,2019-06-06,First Class,TEC-AC-10001109
US-2019-167472,2019-06-06,First Class,TEC-AC-10003038
US-2019-167472,2019-06-06,First Class,TEC-AC-10003174
CA-2017-159800,2017-11-28,First Class,TEC-AC-10003447
US-2017-159618,2017-11-12,Standard Class,TEC-AC-10003832
CA-2017-108903,2017-10-03,First Class,TEC-AC-10003023
CA-2020-117198,2020-08-31,Standard Class,TEC-AC-10003033
CA-2018-145828,2018-10-05,First Class,TEC-AC-10002323
CA-2020-121027,2020-08-18,Standard Class,TEC-AC-10002049
CA-2020-121027,2020-08-18,Standard Class,TEC-AC-10002253
US-2019-124163,2019-09-25,Standard Class,TEC-AC-10001908
CA-2019-121748,2019-10-24,Second Class,TEC-AC-10003063
CA-2019-121748,2019-10-24,Second Class,TEC-AC-10002637
CA-2017-127614,2017-02-11,Standard Class,TEC-AC-10001432
CA-2020-123022,2020-09-03,Standard Class,TEC-AC-10000474
