order_id,order_date,on_truck_scan_date,ship_mode
CA-2019-137848,2019-01-15,2019-01-23,Standard Processing
CA-2019-116736,2019-01-17,2019-01-23,Standard Processing
CA-2019-116736,2019-01-17,2019-01-23,Standard Processing
CA-2019-116736,2019-01-17,2019-01-23,Standard Processing
CA-2019-106558,2019-01-17,2019-01-23,Standard Processing
US-2019-167339,2019-01-21,2019-01-25,Standard Processing
US-2019-167339,2019-01-21,2019-01-25,Standard Processing
CA-2019-153346,2019-01-25,2019-01-28,Express
CA-2019-153346,2019-01-25,2019-01-28,Express
CA-2019-109407,2019-01-24,2019-01-30,Standard Processing
CA-2019-168046,2019-01-25,2019-01-30,Standard Processing
CA-2019-168046,2019-01-25,2019-01-30,Standard Processing
CA-2019-168046,2019-01-25,2019-01-30,Standard Processing
CA-2019-168046,2019-01-25,2019-01-30,Standard Processing
CA-2019-111010,2019-01-22,2019-01-30,Standard Processing
US-2019-135923,2019-01-22,2019-01-30,Standard Processing
US-2019-135923,2019-01-22,2019-01-30,Standard Processing
US-2019-135923,2019-01-22,2019-01-30,Standard Processing
CA-2019-138079,2019-01-22,2019-01-30,Standard Processing
CA-2019-146318,2019-01-22,2019-01-30,Standard Processing
CA-2019-125850,2019-01-22,2019-01-30,Standard Processing
CA-2019-125850,2019-01-22,2019-01-30,Standard Processing
CA-2019-148208,2019-01-22,2019-01-30,Standard Processing
CA-2019-148208,2019-01-22,2019-01-30,Standard Processing
US-2019-155180,2019-01-22,2019-01-30,Standard Processing
CA-2019-113656,2019-01-23,2019-01-30,Standard Processing
US-2019-165505,2019-01-23,2019-01-30,Standard Processing
US-2019-165505,2019-01-23,2019-01-30,Standard Processing
US-2019-165505,2019-01-23,2019-01-30,Standard Processing
CA-2019-153661,2019-01-30,2019-02-01,Express
CA-2019-153661,2019-01-30,2019-02-01,Express
CA-2019-153661,2019-01-30,2019-02-01,Express
US-2019-140809,2019-02-01,2019-02-04,Express
CA-2019-146437,2019-01-28,2019-02-04,Standard Processing
US-2019-166660,2019-01-30,2019-02-04,Standard Processing
US-2019-166660,2019-01-30,2019-02-04,Standard Processing
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
US-2019-108504,2019-02-05,2019-02-06,Express
CA-2019-147970,2019-01-31,2019-02-06,Standard Processing
CA-2019-158043,2019-01-31,2019-02-06,Standard Processing
CA-2019-164483,2019-01-30,2019-02-06,Standard Processing
CA-2019-114944,2019-01-30,2019-02-06,Standard Processing
CA-2019-168032,2019-01-30,2019-02-06,Standard Processing
CA-2019-168032,2019-01-30,2019-02-06,Standard Processing
CA-2019-168032,2019-01-30,2019-02-06,Standard Processing
CA-2019-129238,2019-01-31,2019-02-06,Standard Processing
CA-2019-129238,2019-01-31,2019-02-06,Standard Processing
CA-2019-147431,2019-02-02,2019-02-06,Standard Processing
CA-2019-144645,2019-02-02,2019-02-06,Standard Processing
CA-2019-106894,2019-02-07,2019-02-08,Express
CA-2019-106894,2019-02-07,2019-02-08,Express
CA-2019-158841,2019-02-02,2019-02-08,Standard Processing
CA-2019-158841,2019-02-02,2019-02-08,Standard Processing
CA-2019-158841,2019-02-02,2019-02-08,Standard Processing
CA-2019-159891,2019-01-31,2019-02-08,Standard Processing
CA-2019-159891,2019-01-31,2019-02-08,Standard Processing
CA-2019-154067,2019-02-01,2019-02-08,Standard Processing
CA-2019-161662,2019-02-07,2019-02-11,Express
CA-2019-117912,2019-02-04,2019-02-11,Standard Processing
CA-2019-164938,2019-02-11,2019-02-13,Express
CA-2019-135461,2019-02-07,2019-02-13,Standard Processing
CA-2019-109344,2019-02-08,2019-02-13,Standard Processing
CA-2019-118514,2019-02-03,2019-02-13,Standard Processing
CA-2019-150077,2019-02-04,2019-02-13,Standard Processing
CA-2019-101189,2019-02-04,2019-02-13,Standard Processing
CA-2019-100993,2019-02-05,2019-02-13,Standard Processing
CA-2019-100993,2019-02-05,2019-02-13,Standard Processing
CA-2019-100993,2019-02-05,2019-02-13,Standard Processing
CA-2019-100993,2019-02-05,2019-02-13,Standard Processing
CA-2019-125017,2019-02-06,2019-02-13,Standard Processing
CA-2019-110492,2019-02-12,2019-02-15,Express
CA-2019-110492,2019-02-12,2019-02-15,Express
CA-2019-134334,2019-02-14,2019-02-15,Express
CA-2019-134334,2019-02-14,2019-02-15,Express
CA-2019-134334,2019-02-14,2019-02-15,Express
CA-2019-134334,2019-02-14,2019-02-15,Express
CA-2019-163048,2019-02-08,2019-02-19,Standard Processing
US-2019-112396,2019-02-09,2019-02-19,Standard Processing
US-2019-112396,2019-02-09,2019-02-19,Standard Processing
CA-2019-112942,2019-02-13,2019-02-20,Standard Processing
CA-2019-146150,2019-02-14,2019-02-20,Standard Processing
CA-2019-108105,2019-02-16,2019-02-20,Standard Processing
CA-2019-108105,2019-02-16,2019-02-20,Standard Processing
CA-2019-121447,2019-02-21,2019-02-22,Express
CA-2019-106460,2019-02-19,2019-02-25,Standard Processing
US-2019-162859,2019-02-15,2019-02-25,Standard Processing
US-2019-162859,2019-02-15,2019-02-25,Standard Processing
CA-2019-168956,2019-02-16,2019-02-25,Standard Processing
CA-2019-168956,2019-02-16,2019-02-25,Standard Processing
CA-2019-168956,2019-02-16,2019-02-25,Standard Processing
CA-2019-168956,2019-02-16,2019-02-25,Standard Processing
CA-2019-134138,2019-02-16,2019-02-25,Standard Processing
CA-2019-105781,2019-02-16,2019-02-25,Standard Processing
CA-2019-105781,2019-02-16,2019-02-25,Standard Processing
CA-2019-101630,2019-02-19,2019-02-27,Standard Processing
CA-2019-101630,2019-02-19,2019-02-27,Standard Processing
CA-2019-139010,2019-02-21,2019-02-27,Standard Processing
CA-2019-139010,2019-02-21,2019-02-27,Standard Processing
CA-2019-139010,2019-02-21,2019-02-27,Standard Processing
CA-2019-139010,2019-02-21,2019-02-27,Standard Processing
CA-2019-123274,2019-02-19,2019-02-27,Standard Processing
CA-2019-123274,2019-02-19,2019-02-27,Standard Processing
US-2019-168410,2019-02-21,2019-02-27,Standard Processing
US-2019-168410,2019-02-21,2019-02-27,Standard Processing
US-2019-168410,2019-02-21,2019-02-27,Standard Processing
US-2019-139262,2019-02-21,2019-02-27,Standard Processing
US-2019-139262,2019-02-21,2019-02-27,Standard Processing
US-2019-139262,2019-02-21,2019-02-27,Standard Processing
US-2019-143280,2019-02-22,2019-02-27,Standard Processing
US-2019-143280,2019-02-22,2019-02-27,Standard Processing
US-2019-143280,2019-02-22,2019-02-27,Standard Processing
CA-2019-102456,2019-02-27,2019-03-01,Express
CA-2019-165015,2019-02-25,2019-03-01,Standard Processing
CA-2019-166485,2019-02-20,2019-03-01,Standard Processing
CA-2019-119025,2019-02-22,2019-03-01,Standard Processing
CA-2019-120005,2019-03-03,2019-03-04,Express
CA-2019-120005,2019-03-03,2019-03-04,Express
CA-2019-101448,2019-02-27,2019-03-04,Standard Processing
CA-2019-144400,2019-02-23,2019-03-04,Standard Processing
CA-2019-128706,2019-02-27,2019-03-06,Standard Processing
CA-2019-111283,2019-02-28,2019-03-06,Standard Processing
US-2019-143819,2019-03-01,2019-03-06,Standard Processing
US-2019-143819,2019-03-01,2019-03-06,Standard Processing
US-2019-143819,2019-03-01,2019-03-06,Standard Processing
US-2019-143819,2019-03-01,2019-03-06,Standard Processing
CA-2019-116799,2019-03-03,2019-03-08,Express
CA-2019-116799,2019-03-03,2019-03-08,Express
CA-2019-106306,2019-03-08,2019-03-08,Express
CA-2019-101623,2019-02-28,2019-03-08,Standard Processing
CA-2019-122511,2019-03-11,2019-03-11,Express
CA-2019-122518,2019-03-04,2019-03-11,Standard Processing
US-2019-151862,2019-03-01,2019-03-11,Standard Processing
CA-2019-164637,2019-03-04,2019-03-11,Standard Processing
CA-2019-158358,2019-03-04,2019-03-11,Standard Processing
CA-2019-159016,2019-03-10,2019-03-13,Express
CA-2019-159016,2019-03-10,2019-03-13,Express
CA-2019-118255,2019-03-11,2019-03-13,Express
CA-2019-118255,2019-03-11,2019-03-13,Express
CA-2019-167759,2019-03-03,2019-03-13,Standard Processing
CA-2019-112123,2019-03-03,2019-03-13,Standard Processing
CA-2019-112123,2019-03-03,2019-03-13,Standard Processing
CA-2019-112123,2019-03-03,2019-03-13,Standard Processing
CA-2019-145730,2019-03-03,2019-03-13,Standard Processing
CA-2019-145730,2019-03-03,2019-03-13,Standard Processing
CA-2019-145730,2019-03-03,2019-03-13,Standard Processing
CA-2019-103982,2019-03-03,2019-03-13,Standard Processing
CA-2019-103982,2019-03-03,2019-03-13,Standard Processing
CA-2019-103982,2019-03-03,2019-03-13,Standard Processing
CA-2019-103982,2019-03-03,2019-03-13,Standard Processing
CA-2019-154053,2019-03-04,2019-03-13,Standard Processing
CA-2019-165218,2019-03-05,2019-03-13,Standard Processing
CA-2019-165218,2019-03-05,2019-03-13,Standard Processing
US-2019-155173,2019-03-06,2019-03-13,Standard Processing
US-2019-155173,2019-03-06,2019-03-13,Standard Processing
US-2019-155173,2019-03-06,2019-03-13,Standard Processing
CA-2019-110898,2019-03-06,2019-03-13,Standard Processing
CA-2019-110898,2019-03-06,2019-03-13,Standard Processing
CA-2019-110898,2019-03-06,2019-03-13,Standard Processing
CA-2019-110898,2019-03-06,2019-03-13,Standard Processing
US-2019-137547,2019-03-07,2019-03-13,Standard Processing
CA-2019-111976,2019-03-08,2019-03-13,Standard Processing
CA-2019-111976,2019-03-08,2019-03-13,Standard Processing
CA-2019-137337,2019-03-08,2019-03-13,Standard Processing
CA-2019-137337,2019-03-08,2019-03-13,Standard Processing
CA-2019-137337,2019-03-08,2019-03-13,Standard Processing
CA-2019-130400,2019-03-08,2019-03-13,Standard Processing
CA-2019-130400,2019-03-08,2019-03-13,Standard Processing
CA-2019-130400,2019-03-08,2019-03-13,Standard Processing
CA-2019-153269,2019-03-09,2019-03-15,Express
CA-2019-153269,2019-03-09,2019-03-15,Express
CA-2019-153269,2019-03-09,2019-03-15,Express
CA-2019-153269,2019-03-09,2019-03-15,Express
CA-2019-169663,2019-03-10,2019-03-15,Express
CA-2019-169663,2019-03-10,2019-03-15,Express
CA-2019-169103,2019-03-08,2019-03-15,Standard Processing
CA-2019-169103,2019-03-08,2019-03-15,Standard Processing
US-2019-140172,2019-03-08,2019-03-15,Standard Processing
US-2019-140172,2019-03-08,2019-03-15,Standard Processing
CA-2019-158834,2019-03-13,2019-03-18,Express
CA-2019-158834,2019-03-13,2019-03-18,Express
CA-2019-162082,2019-03-14,2019-03-18,Express
CA-2019-162082,2019-03-14,2019-03-18,Express
CA-2019-162082,2019-03-14,2019-03-18,Express
CA-2019-124793,2019-03-14,2019-03-18,Express
CA-2019-138968,2019-03-15,2019-03-18,Express
CA-2019-138968,2019-03-15,2019-03-18,Express
CA-2019-115476,2019-03-17,2019-03-18,Express
CA-2019-115476,2019-03-17,2019-03-18,Express
CA-2019-131737,2019-03-17,2019-03-18,Express
CA-2019-131737,2019-03-17,2019-03-18,Express
CA-2019-131737,2019-03-17,2019-03-18,Express
CA-2019-108959,2019-03-10,2019-03-18,Standard Processing
CA-2019-127138,2019-03-12,2019-03-18,Standard Processing
CA-2019-127138,2019-03-12,2019-03-18,Standard Processing
CA-2019-127138,2019-03-12,2019-03-18,Standard Processing
CA-2019-127138,2019-03-12,2019-03-18,Standard Processing
CA-2019-136301,2019-03-13,2019-03-18,Standard Processing
CA-2019-136301,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
US-2019-114013,2019-03-13,2019-03-18,Standard Processing
CA-2019-120803,2019-03-09,2019-03-18,Standard Processing
US-2019-122182,2019-03-10,2019-03-18,Standard Processing
US-2019-128902,2019-03-11,2019-03-18,Standard Processing
CA-2019-146171,2019-03-11,2019-03-18,Standard Processing
CA-2019-146171,2019-03-11,2019-03-18,Standard Processing
CA-2019-119683,2019-03-12,2019-03-20,Standard Processing
US-2019-112977,2019-03-10,2019-03-20,Standard Processing
CA-2019-115504,2019-03-12,2019-03-20,Standard Processing
US-2019-119270,2019-03-12,2019-03-20,Standard Processing
CA-2019-159373,2019-03-13,2019-03-20,Standard Processing
CA-2019-159373,2019-03-13,2019-03-20,Standard Processing
CA-2019-159373,2019-03-13,2019-03-20,Standard Processing
US-2019-108637,2019-03-13,2019-03-20,Standard Processing
US-2019-108637,2019-03-13,2019-03-20,Standard Processing
US-2019-108637,2019-03-13,2019-03-20,Standard Processing
CA-2019-119123,2019-03-13,2019-03-20,Standard Processing
US-2019-154361,2019-03-14,2019-03-20,Standard Processing
CA-2019-102134,2019-03-14,2019-03-20,Standard Processing
US-2019-113509,2019-03-15,2019-03-20,Standard Processing
CA-2019-140571,2019-03-15,2019-03-20,Standard Processing
CA-2019-140571,2019-03-15,2019-03-20,Standard Processing
CA-2019-149272,2019-03-15,2019-03-20,Standard Processing
CA-2019-149272,2019-03-15,2019-03-20,Standard Processing
CA-2019-118899,2019-03-22,2019-03-22,Express
CA-2019-134544,2019-03-17,2019-03-22,Standard Processing
US-2019-120929,2019-03-18,2019-03-22,Standard Processing
CA-2019-113292,2019-03-18,2019-03-22,Standard Processing
CA-2019-106383,2019-03-19,2019-03-22,Standard Processing
CA-2019-136371,2019-03-19,2019-03-22,Standard Processing
CA-2019-136371,2019-03-19,2019-03-22,Standard Processing
CA-2019-133802,2019-03-14,2019-03-22,Standard Processing
CA-2019-107615,2019-03-22,2019-03-25,Express
CA-2019-134887,2019-03-25,2019-03-25,Express
CA-2019-150889,2019-03-20,2019-03-25,Standard Processing
CA-2019-113803,2019-03-24,2019-03-27,Express
US-2019-162677,2019-03-26,2019-03-27,Express
US-2019-162677,2019-03-26,2019-03-27,Express
CA-2019-162747,2019-03-20,2019-03-27,Standard Processing
CA-2019-128111,2019-03-17,2019-03-27,Standard Processing
CA-2019-118178,2019-03-19,2019-03-27,Standard Processing
US-2019-156986,2019-03-20,2019-03-27,Standard Processing
US-2019-156986,2019-03-20,2019-03-27,Standard Processing
US-2019-156986,2019-03-20,2019-03-27,Standard Processing
US-2019-156986,2019-03-20,2019-03-27,Standard Processing
CA-2019-127670,2019-03-20,2019-03-27,Standard Processing
CA-2019-163153,2019-03-21,2019-03-27,Standard Processing
CA-2019-163153,2019-03-21,2019-03-27,Standard Processing
CA-2019-130911,2019-03-24,2019-03-29,Standard Processing
CA-2019-130911,2019-03-24,2019-03-29,Standard Processing
CA-2019-120082,2019-03-25,2019-03-29,Standard Processing
CA-2019-161361,2019-03-26,2019-03-29,Standard Processing
CA-2019-161361,2019-03-26,2019-03-29,Standard Processing
US-2019-133879,2019-03-21,2019-03-29,Standard Processing
US-2019-133879,2019-03-21,2019-03-29,Standard Processing
US-2019-133879,2019-03-21,2019-03-29,Standard Processing
CA-2019-162901,2019-03-28,2019-04-01,Express
US-2019-164189,2019-03-24,2019-04-01,Standard Processing
CA-2019-128258,2019-03-30,2019-04-03,Express
CA-2019-162222,2019-04-03,2019-04-03,Express
CA-2019-131380,2019-03-28,2019-04-03,Standard Processing
CA-2019-131380,2019-03-28,2019-04-03,Standard Processing
CA-2019-152555,2019-03-29,2019-04-03,Standard Processing
CA-2019-152555,2019-03-29,2019-04-03,Standard Processing
CA-2019-152555,2019-03-29,2019-04-03,Standard Processing
CA-2019-123666,2019-03-26,2019-04-03,Standard Processing
CA-2019-119074,2019-03-27,2019-04-03,Standard Processing
CA-2019-119074,2019-03-27,2019-04-03,Standard Processing
CA-2019-119074,2019-03-27,2019-04-03,Standard Processing
CA-2019-167556,2019-03-29,2019-04-03,Standard Processing
CA-2019-167556,2019-03-29,2019-04-03,Standard Processing
CA-2019-167556,2019-03-29,2019-04-03,Standard Processing
CA-2019-167556,2019-03-29,2019-04-03,Standard Processing
CA-2019-127236,2019-03-29,2019-04-03,Standard Processing
CA-2019-127236,2019-03-29,2019-04-03,Standard Processing
CA-2019-159142,2019-04-04,2019-04-05,Express
CA-2019-159142,2019-04-04,2019-04-05,Express
US-2019-151827,2019-03-31,2019-04-05,Standard Processing
US-2019-151827,2019-03-31,2019-04-05,Standard Processing
CA-2019-166674,2019-04-01,2019-04-05,Standard Processing
CA-2019-166674,2019-04-01,2019-04-05,Standard Processing
CA-2019-166674,2019-04-01,2019-04-05,Standard Processing
CA-2019-166674,2019-04-01,2019-04-05,Standard Processing
CA-2019-166674,2019-04-01,2019-04-05,Standard Processing
CA-2019-166674,2019-04-01,2019-04-05,Standard Processing
CA-2019-127985,2019-04-01,2019-04-08,Standard Processing
CA-2019-161473,2019-04-01,2019-04-08,Standard Processing
CA-2019-161473,2019-04-01,2019-04-08,Standard Processing
CA-2019-161473,2019-04-01,2019-04-08,Standard Processing
CA-2019-111213,2019-04-01,2019-04-08,Standard Processing
CA-2019-111213,2019-04-01,2019-04-08,Standard Processing
CA-2019-111213,2019-04-01,2019-04-08,Standard Processing
CA-2019-110499,2019-04-07,2019-04-10,Express
CA-2019-154998,2019-04-07,2019-04-10,Express
CA-2019-123540,2019-04-02,2019-04-10,Standard Processing
CA-2019-123050,2019-04-04,2019-04-10,Standard Processing
CA-2019-123050,2019-04-04,2019-04-10,Standard Processing
CA-2019-123050,2019-04-04,2019-04-10,Standard Processing
CA-2019-124100,2019-03-31,2019-04-10,Standard Processing
CA-2019-103947,2019-04-01,2019-04-10,Standard Processing
CA-2019-103947,2019-04-01,2019-04-10,Standard Processing
CA-2019-149902,2019-04-01,2019-04-10,Standard Processing
US-2019-160206,2019-04-01,2019-04-10,Standard Processing
CA-2019-120796,2019-04-03,2019-04-10,Standard Processing
CA-2019-167682,2019-04-03,2019-04-10,Standard Processing
CA-2019-167682,2019-04-03,2019-04-10,Standard Processing
CA-2019-167115,2019-04-04,2019-04-10,Standard Processing
CA-2019-161907,2019-04-05,2019-04-10,Standard Processing
CA-2019-161907,2019-04-05,2019-04-10,Standard Processing
US-2019-106600,2019-04-08,2019-04-12,Express
US-2019-114622,2019-04-10,2019-04-12,Express
CA-2019-159695,2019-04-05,2019-04-12,Standard Processing
CA-2019-163594,2019-04-12,2019-04-15,Express
CA-2019-163594,2019-04-12,2019-04-15,Express
CA-2019-163594,2019-04-12,2019-04-15,Express
CA-2019-112669,2019-04-14,2019-04-15,Express
CA-2019-112669,2019-04-14,2019-04-15,Express
US-2019-150140,2019-04-06,2019-04-15,Standard Processing
CA-2019-132899,2019-04-07,2019-04-15,Standard Processing
CA-2019-130477,2019-04-08,2019-04-15,Standard Processing
CA-2019-130477,2019-04-08,2019-04-15,Standard Processing
CA-2019-130477,2019-04-08,2019-04-15,Standard Processing
CA-2019-130946,2019-04-08,2019-04-15,Standard Processing
CA-2019-130946,2019-04-08,2019-04-15,Standard Processing
CA-2019-130946,2019-04-08,2019-04-15,Standard Processing
CA-2019-152800,2019-04-13,2019-04-17,Express
CA-2019-128517,2019-04-09,2019-04-17,Standard Processing
CA-2019-128517,2019-04-09,2019-04-17,Standard Processing
CA-2019-120530,2019-04-07,2019-04-17,Standard Processing
CA-2019-114405,2019-04-07,2019-04-17,Standard Processing
CA-2019-114405,2019-04-07,2019-04-17,Standard Processing
CA-2019-138520,2019-04-08,2019-04-17,Standard Processing
CA-2019-138520,2019-04-08,2019-04-17,Standard Processing
CA-2019-138520,2019-04-08,2019-04-17,Standard Processing
CA-2019-138520,2019-04-08,2019-04-17,Standard Processing
CA-2019-104969,2019-04-08,2019-04-17,Standard Processing
CA-2019-104969,2019-04-08,2019-04-17,Standard Processing
CA-2019-124233,2019-04-08,2019-04-17,Standard Processing
CA-2019-150000,2019-04-08,2019-04-17,Standard Processing
CA-2019-134789,2019-04-08,2019-04-17,Standard Processing
CA-2019-134789,2019-04-08,2019-04-17,Standard Processing
CA-2019-134789,2019-04-08,2019-04-17,Standard Processing
CA-2019-126809,2019-04-09,2019-04-17,Standard Processing
CA-2019-117681,2019-04-09,2019-04-17,Standard Processing
CA-2019-124814,2019-04-10,2019-04-17,Standard Processing
CA-2019-124814,2019-04-10,2019-04-17,Standard Processing
CA-2019-109652,2019-04-10,2019-04-17,Standard Processing
CA-2019-112102,2019-04-12,2019-04-17,Standard Processing
CA-2019-112102,2019-04-12,2019-04-17,Standard Processing
CA-2019-112102,2019-04-12,2019-04-17,Standard Processing
CA-2019-142398,2019-04-12,2019-04-17,Standard Processing
CA-2019-142398,2019-04-12,2019-04-17,Standard Processing
CA-2019-166625,2019-04-14,2019-04-19,Express
CA-2019-136406,2019-04-15,2019-04-19,Standard Processing
CA-2019-117849,2019-04-15,2019-04-19,Standard Processing
CA-2019-105473,2019-04-16,2019-04-19,Standard Processing
CA-2019-123358,2019-04-10,2019-04-19,Standard Processing
CA-2019-123358,2019-04-10,2019-04-19,Standard Processing
CA-2019-123358,2019-04-10,2019-04-19,Standard Processing
CA-2019-123358,2019-04-10,2019-04-19,Standard Processing
CA-2019-124254,2019-04-12,2019-04-19,Standard Processing
CA-2019-124254,2019-04-12,2019-04-19,Standard Processing
CA-2019-124254,2019-04-12,2019-04-19,Standard Processing
CA-2019-146423,2019-04-21,2019-04-22,Express
CA-2019-146423,2019-04-21,2019-04-22,Express
CA-2019-148796,2019-04-14,2019-04-22,Standard Processing
US-2019-132423,2019-04-15,2019-04-22,Standard Processing
US-2019-132423,2019-04-15,2019-04-22,Standard Processing
CA-2019-164735,2019-04-14,2019-04-24,Standard Processing
CA-2019-149111,2019-04-17,2019-04-24,Standard Processing
CA-2019-149111,2019-04-17,2019-04-24,Standard Processing
US-2019-123750,2019-04-15,2019-04-24,Standard Processing
US-2019-123750,2019-04-15,2019-04-24,Standard Processing
US-2019-123750,2019-04-15,2019-04-24,Standard Processing
US-2019-123750,2019-04-15,2019-04-24,Standard Processing
US-2019-164588,2019-04-16,2019-04-24,Standard Processing
US-2019-107440,2019-04-16,2019-04-24,Standard Processing
US-2019-107440,2019-04-16,2019-04-24,Standard Processing
US-2019-107440,2019-04-16,2019-04-24,Standard Processing
CA-2019-166282,2019-04-16,2019-04-24,Standard Processing
CA-2019-166282,2019-04-16,2019-04-24,Standard Processing
US-2019-133508,2019-04-17,2019-04-24,Standard Processing
CA-2019-108735,2019-04-17,2019-04-24,Standard Processing
US-2019-159415,2019-04-17,2019-04-24,Standard Processing
CA-2019-155551,2019-04-18,2019-04-24,Standard Processing
CA-2019-155551,2019-04-18,2019-04-24,Standard Processing
CA-2019-139381,2019-04-18,2019-04-24,Standard Processing
CA-2019-139381,2019-04-18,2019-04-24,Standard Processing
CA-2019-125087,2019-04-18,2019-04-24,Standard Processing
CA-2019-125087,2019-04-18,2019-04-24,Standard Processing
CA-2019-125087,2019-04-18,2019-04-24,Standard Processing
CA-2019-144785,2019-04-18,2019-04-24,Standard Processing
CA-2019-144785,2019-04-18,2019-04-24,Standard Processing
CA-2019-151498,2019-04-21,2019-04-26,Express
CA-2019-124149,2019-04-23,2019-04-26,Express
CA-2019-124149,2019-04-23,2019-04-26,Express
CA-2019-124149,2019-04-23,2019-04-26,Express
US-2019-115819,2019-04-19,2019-04-26,Standard Processing
US-2019-115819,2019-04-19,2019-04-26,Standard Processing
US-2019-115819,2019-04-19,2019-04-26,Standard Processing
US-2019-115819,2019-04-19,2019-04-26,Standard Processing
US-2019-115819,2019-04-19,2019-04-26,Standard Processing
US-2019-115819,2019-04-19,2019-04-26,Standard Processing
US-2019-161396,2019-04-19,2019-04-26,Standard Processing
US-2019-161396,2019-04-19,2019-04-26,Standard Processing
CA-2019-138933,2019-04-24,2019-04-29,Express
CA-2019-147578,2019-04-22,2019-04-29,Standard Processing
CA-2019-109666,2019-04-19,2019-04-29,Standard Processing
CA-2019-109666,2019-04-19,2019-04-29,Standard Processing
CA-2019-109666,2019-04-19,2019-04-29,Standard Processing
CA-2019-109666,2019-04-19,2019-04-29,Standard Processing
CA-2019-109666,2019-04-19,2019-04-29,Standard Processing
CA-2019-109666,2019-04-19,2019-04-29,Standard Processing
CA-2019-109666,2019-04-19,2019-04-29,Standard Processing
CA-2019-113061,2019-04-22,2019-04-29,Standard Processing
CA-2019-168081,2019-04-24,2019-05-01,Standard Processing
US-2019-150147,2019-04-25,2019-05-01,Standard Processing
US-2019-150147,2019-04-25,2019-05-01,Standard Processing
US-2019-150147,2019-04-25,2019-05-01,Standard Processing
US-2019-103646,2019-04-21,2019-05-01,Standard Processing
US-2019-103646,2019-04-21,2019-05-01,Standard Processing
US-2019-103646,2019-04-21,2019-05-01,Standard Processing
