order_id,ready_to_ship_date,pickup_date
CA-2019-165918,2019-09-16,2019-09-18
CA-2019-102162,2019-09-16,2019-09-18
CA-2019-153157,2019-09-16,2019-09-16
CA-2019-150007,2019-09-16,2019-09-18
CA-2019-137176,2019-09-16,2019-09-18
US-2019-118780,2019-09-16,2019-09-18
CA-2019-150007,2019-09-16,2019-09-18
CA-2019-145625,2019-09-17,2019-09-18
CA-2019-164154,2019-09-17,2019-09-18
CA-2019-164154,2019-09-17,2019-09-18
CA-2019-130225,2019-09-17,2019-09-18
CA-2019-145625,2019-09-17,2019-09-18
CA-2019-158610,2019-09-23,2019-09-23
CA-2019-142370,2019-09-23,2019-09-25
CA-2019-142370,2019-09-23,2019-09-25
CA-2019-130267,2019-09-23,2019-09-25
CA-2019-102932,2019-09-23,2019-09-25
CA-2019-168557,2019-09-23,2019-09-25
CA-2019-100244,2019-09-24,2019-09-25
CA-2019-100244,2019-09-24,2019-09-25
CA-2019-100244,2019-09-24,2019-09-25
US-2019-147340,2019-09-24,2019-09-25
CA-2019-100244,2019-09-24,2019-09-25
CA-2019-100244,2019-09-24,2019-09-25
CA-2019-126284,2019-09-24,2019-09-25
US-2019-114888,2019-09-24,2019-09-25
US-2019-114888,2019-09-24,2019-09-25
CA-2019-145611,2019-09-24,2019-09-25
CA-2019-166772,2019-09-24,2019-09-25
CA-2019-134516,2019-09-25,2019-09-27
CA-2019-155187,2019-09-26,2019-09-27
CA-2019-155187,2019-09-26,2019-09-27
CA-2019-132479,2019-09-26,2019-09-27
CA-2019-141551,2019-09-30,2019-10-02
CA-2019-100944,2019-09-30,2019-10-02
CA-2019-154235,2019-09-30,2019-10-02
CA-2019-123176,2019-09-30,2019-10-02
CA-2019-123176,2019-09-30,2019-10-02
CA-2019-108875,2019-10-01,2019-10-02
US-2019-134488,2019-10-01,2019-10-02
CA-2019-163202,2019-10-02,2019-10-04
US-2019-110170,2019-10-03,2019-10-04
CA-2019-106243,2019-10-04,2019-10-07
US-2020-168116,2020-11-04,2020-11-04
US-2020-163790,2020-11-04,2020-11-06
CA-2020-121160,2020-11-04,2020-11-04
CA-2020-121160,2020-11-04,2020-11-04
US-2020-163790,2020-11-04,2020-11-06
CA-2020-143567,2020-11-05,2020-11-06
US-2020-145597,2020-11-05,2020-11-06
CA-2020-153339,2020-11-05,2020-11-06
CA-2020-147760,2020-11-05,2020-11-06
CA-2020-104136,2020-11-05,2020-11-06
CA-2020-103009,2020-11-05,2020-11-06
US-2020-105998,2020-11-05,2020-11-06
CA-2020-104136,2020-11-05,2020-11-06
CA-2020-167227,2020-11-05,2020-11-06
US-2020-153948,2020-11-06,2020-11-06
US-2020-153948,2020-11-06,2020-11-06
CA-2020-130834,2020-11-06,2020-11-09
CA-2020-127782,2020-11-06,2020-11-09
CA-2020-127782,2020-11-06,2020-11-09
CA-2020-121615,2020-11-09,2020-11-12
CA-2020-102610,2020-11-09,2020-11-12
CA-2020-157196,2020-11-09,2020-11-12
CA-2020-152737,2020-11-09,2020-11-12
US-2020-168802,2020-11-09,2020-11-12
CA-2020-142636,2020-11-09,2020-11-12
CA-2020-167941,2020-11-09,2020-11-12
CA-2020-161130,2020-11-09,2020-11-12
CA-2020-163188,2020-11-09,2020-11-09
US-2020-122672,2020-11-09,2020-11-12
CA-2020-102610,2020-11-09,2020-11-12
US-2020-122672,2020-11-09,2020-11-12
CA-2020-142636,2020-11-09,2020-11-12
CA-2020-121615,2020-11-09,2020-11-12
CA-2020-154732,2020-11-09,2020-11-09
CA-2020-167941,2020-11-09,2020-11-12
CA-2020-100622,2020-11-09,2020-11-12
CA-2020-102610,2020-11-09,2020-11-12
CA-2020-102610,2020-11-09,2020-11-12
CA-2020-122504,2020-11-09,2020-11-12
CA-2020-159135,2020-11-09,2020-11-12
CA-2020-102925,2020-11-10,2020-11-12
CA-2020-162096,2020-11-10,2020-11-12
CA-2020-102925,2020-11-10,2020-11-12
CA-2020-102925,2020-11-10,2020-11-12
CA-2020-114258,2020-11-10,2020-11-12
CA-2020-102925,2020-11-10,2020-11-12
CA-2020-102925,2020-11-10,2020-11-12
CA-2020-125290,2020-11-10,2020-11-12
CA-2020-154109,2020-11-11,2020-11-13
US-2020-155425,2020-11-11,2020-11-12
US-2020-155425,2020-11-11,2020-11-12
US-2020-155425,2020-11-11,2020-11-12
CA-2020-154109,2020-11-11,2020-11-13
CA-2020-161018,2020-11-11,2020-11-13
CA-2020-152912,2020-11-12,2020-11-13
CA-2020-152912,2020-11-12,2020-11-13
CA-2020-163874,2020-11-12,2020-11-13
US-2020-116659,2020-11-12,2020-11-13
CA-2020-134915,2020-11-12,2020-11-13
CA-2020-159667,2020-11-13,2020-11-16
CA-2020-107174,2020-11-13,2020-11-16
CA-2020-107174,2020-11-13,2020-11-16
CA-2020-107720,2020-11-13,2020-11-16
US-2020-116491,2020-11-13,2020-11-13
CA-2020-150959,2020-11-13,2020-11-13
CA-2020-152142,2020-11-16,2020-11-18
CA-2020-104640,2020-11-16,2020-11-18
CA-2020-110842,2020-11-16,2020-11-18
US-2020-136707,2020-11-16,2020-11-16
US-2020-118598,2020-11-16,2020-11-16
CA-2020-155621,2020-11-16,2020-11-18
CA-2020-159597,2020-11-16,2020-11-18
CA-2020-148985,2020-11-16,2020-11-18
US-2020-132220,2020-11-16,2020-11-18
CA-2020-115448,2020-11-16,2020-11-16
CA-2020-164364,2020-11-16,2020-11-18
US-2020-125808,2020-11-16,2020-11-18
CA-2020-110842,2020-11-16,2020-11-18
CA-2020-149944,2020-11-16,2020-11-18
US-2020-141852,2020-11-16,2020-11-18
CA-2020-141138,2020-11-16,2020-11-18
US-2020-165344,2020-11-16,2020-11-16
CA-2020-161739,2020-11-16,2020-11-18
CA-2020-160514,2020-11-16,2020-11-18
US-2020-157896,2020-11-16,2020-11-16
CA-2020-136308,2020-11-16,2020-11-16
CA-2020-123624,2020-11-17,2020-11-18
CA-2020-154137,2020-11-17,2020-11-18
CA-2020-122644,2020-11-17,2020-11-18
US-2020-124926,2020-11-18,2020-11-20
CA-2020-164168,2020-11-18,2020-11-20
US-2020-153633,2020-11-18,2020-11-20
CA-2020-107825,2020-11-18,2020-11-18
CA-2020-164168,2020-11-18,2020-11-20
CA-2020-122490,2020-11-18,2020-11-20
CA-2020-164168,2020-11-18,2020-11-20
CA-2020-160416,2020-11-18,2020-11-20
CA-2020-122490,2020-11-18,2020-11-20
CA-2020-130386,2020-11-18,2020-11-20
CA-2020-164168,2020-11-18,2020-11-20
CA-2020-164168,2020-11-18,2020-11-20
CA-2020-133620,2020-11-18,2020-11-20
CA-2020-113873,2020-11-19,2020-11-20
CA-2020-113873,2020-11-19,2020-11-20
US-2020-118157,2020-11-19,2020-11-20
US-2020-102904,2020-11-20,2020-11-23
CA-2020-157448,2020-11-20,2020-11-23
CA-2020-138163,2020-11-20,2020-11-20
CA-2020-121468,2020-11-20,2020-11-20
CA-2020-137022,2020-11-23,2020-11-25
CA-2020-165687,2020-11-23,2020-11-25
CA-2020-124674,2020-11-23,2020-11-25
US-2020-155866,2020-11-23,2020-11-25
US-2020-132444,2020-11-23,2020-11-23
CA-2020-131254,2020-11-23,2020-11-23
US-2020-132444,2020-11-23,2020-11-23
CA-2020-157420,2020-11-23,2020-11-23
CA-2020-112529,2020-11-23,2020-11-23
CA-2020-111556,2020-11-23,2020-11-23
US-2020-132444,2020-11-23,2020-11-23
CA-2020-121818,2020-11-23,2020-11-23
CA-2020-160122,2020-11-23,2020-11-25
US-2020-155866,2020-11-23,2020-11-25
CA-2020-108112,2020-11-23,2020-11-25
US-2020-132444,2020-11-23,2020-11-23
CA-2020-104864,2020-11-23,2020-11-25
CA-2020-104864,2020-11-23,2020-11-25
CA-2020-162929,2020-11-23,2020-11-23
CA-2020-111556,2020-11-23,2020-11-23
US-2020-114657,2020-11-23,2020-11-25
CA-2020-126242,2020-11-24,2020-11-25
CA-2020-120404,2020-11-24,2020-11-25
CA-2020-126242,2020-11-24,2020-11-25
CA-2020-118122,2020-11-24,2020-11-25
CA-2020-103499,2020-11-24,2020-11-25
CA-2020-137505,2020-11-24,2020-11-25
CA-2020-105543,2020-11-24,2020-11-25
CA-2020-162250,2020-11-24,2020-11-25
US-2020-161193,2020-11-26,2020-11-27
CA-2020-149160,2020-11-26,2020-11-27
CA-2020-156622,2020-11-26,2020-11-27
CA-2020-153654,2020-11-26,2020-11-27
CA-2020-100811,2020-11-26,2020-11-27
CA-2020-149160,2020-11-26,2020-11-27
CA-2020-156622,2020-11-26,2020-11-27
CA-2020-103380,2020-11-27,2020-11-30
CA-2020-103380,2020-11-27,2020-11-30
CA-2020-105130,2020-11-27,2020-11-30
CA-2020-135307,2020-11-27,2020-11-27
CA-2020-146724,2020-11-27,2020-11-30
CA-2020-123701,2020-11-27,2020-11-27
CA-2020-103380,2020-11-27,2020-11-30
CA-2020-107874,2020-11-27,2020-11-30
CA-2020-119746,2020-11-27,2020-11-30
CA-2020-110443,2020-11-27,2020-11-30
CA-2020-119004,2020-11-30,2020-12-02
US-2020-133312,2020-11-30,2020-12-02
CA-2020-122700,2020-11-30,2020-12-02
CA-2020-103352,2020-11-30,2020-12-02
CA-2020-155159,2020-11-30,2020-12-02
CA-2020-165029,2020-11-30,2020-12-02
CA-2020-150266,2020-11-30,2020-12-02
CA-2020-155607,2020-11-30,2020-12-02
CA-2020-161459,2020-11-30,2020-12-02
CA-2020-119004,2020-11-30,2020-12-02
CA-2020-124765,2020-11-30,2020-12-02
US-2020-109610,2020-11-30,2020-12-02
CA-2020-166436,2020-11-30,2020-12-02
CA-2020-150266,2020-11-30,2020-12-02
CA-2020-164028,2020-11-30,2020-12-02
CA-2020-103352,2020-11-30,2020-12-02
CA-2020-117702,2020-11-30,2020-12-02
US-2020-128118,2020-12-01,2020-12-02
CA-2020-168641,2020-12-01,2020-12-02
CA-2020-141439,2020-12-01,2020-12-02
US-2020-128118,2020-12-01,2020-12-02
CA-2020-141439,2020-12-01,2020-12-02
CA-2020-159506,2020-12-02,2020-12-04
CA-2020-107125,2020-12-02,2020-12-04
CA-2020-107125,2020-12-02,2020-12-04
US-2020-165456,2020-12-03,2020-12-04
US-2020-110576,2020-12-04,2020-12-07
CA-2020-105333,2020-12-04,2020-12-07
CA-2020-105333,2020-12-04,2020-12-07
US-2020-110576,2020-12-04,2020-12-07
CA-2020-119305,2020-12-04,2020-12-07
CA-2020-142090,2020-12-07,2020-12-09
